"mmsi","signalpower","ppm","received_at","station_id","msg_id","imo","callsign","shipname","shiptype","to_port","to_bow","to_stern","to_starboard","eta","draught","destination","status","turn","speed","lat","lon","course","heading","aid_type","alt","count","msg_types","channels"
"503376400","0","0","2024-10-04 04:03:35","0",3,NULL,NULL,"MARJORIE JACKSON    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.82195","151.07943333333333",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503702700","0","0","2024-10-04 04:03:37","0",3,NULL,NULL,"WAREE               ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.85566166666667","151.18922",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503046120","0","0","2024-10-04 04:03:38","0",1,NULL,NULL,"CATHERINE HAMLIN    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.855848333333334","151.18813",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503730800","0","0","2024-10-04 04:03:38","0",1,NULL,NULL,"PV SHARP            ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.86254666666667","151.18426666666667",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503164160","0","0","2024-10-04 04:03:40","0",1,NULL,NULL,"JOHN NUTT           ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.84678666666667","151.15985333333336",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503067480","0","0","2024-10-04 04:03:40","0",3,NULL,NULL,"CRYSTAL LADY        ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.869641666666666","151.18157666666667",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503493000","0","0","2024-10-04 04:03:43","0",3,NULL,NULL,"SV JAMES CRAIG",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.83090166666667","151.34187500000002",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503344900","0","0","2024-10-04 04:03:45","0",3,NULL,NULL,"ALEXANDER           ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.847183333333334","151.18801666666667",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503000000","0","0","2024-10-04 04:03:46","0",3,NULL,NULL,"TEST                ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.76739333333333","151.27319833333334",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503344800","0","0","2024-10-04 04:03:47","0",1,NULL,NULL,"SUPPLY              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.84801","151.23093333333333",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503100450","0","0","2024-10-04 04:03:47","0",3,NULL,NULL,"OLIVE COTTON        ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.840603333333334","151.11688",NULL,NULL,NULL,NULL,NULL,NULL,NULL
